Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/31/2023,01/01/2024,SOUTHERN SPICE INDIAN,Food & Drink,Sale,-91.39,
12/30/2023,12/31/2023,H MART IRVINE NORTHPARK,Groceries,Sale,-12.69,
12/29/2023,12/31/2023,SQ *DINOSAUR COFFEE,Food & Drink,Sale,-13.22,
12/30/2023,12/31/2023,GLIDEPARCS ENFORCEMENT,Travel,Sale,-106.00,
12/30/2023,12/31/2023,SQ *CHANGHWADANG,Food & Drink,Sale,-35.38,
12/30/2023,12/31/2023,SUPERCUTS CA 81072,Personal,Sale,-33.00,
12/29/2023,12/31/2023,PIERRE LAFOND MARKET,Groceries,Sale,-31.32,
12/29/2023,12/31/2023,TARGET        00002980,Shopping,Sale,-6.78,
12/28/2023,12/29/2023,SQ *PURSUE COFFEE,Food & Drink,Sale,-14.30,
12/27/2023,12/29/2023,UOVO - MR,Food & Drink,Sale,-96.54,
12/27/2023,12/29/2023,TRADER JOE S #205,Groceries,Sale,-2.54,
12/26/2023,12/28/2023,TST* GEORGIA'S LOUNGE,Food & Drink,Sale,-64.74,
12/27/2023,12/28/2023,IN-N-OUT REDONDO BEACH,Food & Drink,Sale,-15.49,
12/27/2023,12/28/2023,SQ *EXHALE PHYSICAL THERA,Health & Wellness,Sale,-75.00,
12/27/2023,12/28/2023,HOLLISTER #30698,Shopping,Sale,-104.59,
12/28/2023,12/28/2023,Uniqlo USA LLC,Shopping,Sale,-33.06,
12/25/2023,12/26/2023,UCLA PHYSICIANS,Health & Wellness,Sale,-198.75,
12/23/2023,12/25/2023,TARGET        00001990,Shopping,Sale,-21.37,
12/24/2023,12/25/2023,TARGET        00019802,Shopping,Sale,-2.99,
12/23/2023,12/24/2023,TST* MARTHAS 22ND STREET,Food & Drink,Sale,-42.00,
12/22/2023,12/24/2023,SPROUTS FARMERS MAR,Groceries,Sale,-98.77,
12/23/2023,12/24/2023,HERMOSA BEACH PARKING,Travel,Sale,-4.00,
12/22/2023,12/24/2023,TST* MANHATTAN BREAD &amp; BA,Food & Drink,Sale,-22.76,
12/22/2023,12/24/2023,TRADER JOE S #034,Groceries,Sale,-31.20,
12/23/2023,12/24/2023,PHO VINA NOODLE,Food & Drink,Sale,-50.00,
12/22/2023,12/24/2023,AMZN Mktp US*9R7WV7EG3,Shopping,Sale,-10.10,
12/20/2023,12/22/2023,TARGET        00019802,Shopping,Sale,-44.70,
12/21/2023,12/22/2023,CVS/PHARMACY #09513,Health & Wellness,Sale,-31.51,
12/20/2023,12/22/2023,CARLS JR 1100210,Food & Drink,Sale,-7.11,
12/19/2023,12/21/2023,TRADER JOE S #034,Groceries,Sale,-4.07,
12/20/2023,12/21/2023,AMZN Mktp US*PK0XQ3EU3,Shopping,Sale,-23.61,
12/19/2023,12/20/2023,OURARING INC.,Shopping,Sale,-5.99,
12/20/2023,12/20/2023,Amazon Prime*ZD12A8PU3,Bills & Utilities,Sale,-16.41,
12/17/2023,12/18/2023,Etsy.com - Multiple Shop,Shopping,Sale,-60.04,
12/18/2023,12/18/2023,AMZN Mktp US*066E06Z13,Shopping,Sale,-40.50,
12/15/2023,12/17/2023,NORDSTROM RACK #0370,Shopping,Sale,-108.31,
12/15/2023,12/17/2023,AUTOZONE #5399,Automotive,Sale,-9.84,
12/14/2023,12/15/2023,SQ *EXHALE PHYSICAL THERA,Health & Wellness,Sale,-15.00,
12/12/2023,12/14/2023,TRADER JOE S #034,Groceries,Sale,-2.99,
12/11/2023,12/13/2023,TRADER JOE S #248,Groceries,Sale,-29.56,
12/11/2023,12/11/2023,AUTOMATIC PAYMENT - THANK,,Payment,2101.63,
12/09/2023,12/11/2023,STARBUCKS STORE 05741,Food & Drink,Sale,-7.20,
12/08/2023,12/10/2023,HALAL GOURMET MARKET,Groceries,Sale,-1.38,
12/08/2023,12/10/2023,VONS #1623,Groceries,Sale,-57.37,
12/08/2023,12/10/2023,WORLD MARKET  #304,Shopping,Sale,-6.59,
12/08/2023,12/10/2023,TARGET        00033365,Shopping,Sale,-63.95,
12/07/2023,12/10/2023,GEN KOREAN BBQ TORRANCE,Food & Drink,Sale,-145.00,
12/06/2023,12/08/2023,TRADER JOE S #034,Groceries,Sale,-9.17,
12/07/2023,12/08/2023,EXXON HANNA HANNA,Gas,Sale,-20.00,
12/04/2023,12/06/2023,SPROUTS FARMERS MAR,Groceries,Sale,-28.13,
12/06/2023,12/06/2023,THE BOMBAY FRANKIE COMPAN,Food & Drink,Sale,-13.50,
12/05/2023,12/06/2023,Amazon.com*UZ0LI1UD3,Shopping,Sale,-15.29,
12/04/2023,12/06/2023,FIRST CLASS VENDING 80051,Food & Drink,Sale,-1.85,
12/04/2023,12/05/2023,GEICO  *AUTO,Bills & Utilities,Sale,-152.85,
12/04/2023,12/05/2023,CSC SERVICEWORK,Food & Drink,Sale,-2.50,
12/02/2023,12/04/2023,TRADER JOE S #034,Groceries,Sale,-11.47,
12/04/2023,12/04/2023,PREPLY INC.,Shopping,Sale,-176.40,
12/01/2023,12/03/2023,IN-N-OUT REDONDO BEACH,Food & Drink,Sale,-6.62,
11/30/2023,12/03/2023,TRADER JOE S #034,Groceries,Sale,-40.13,
12/02/2023,12/03/2023,PREPLY INC.,Shopping,Sale,-10.80,
11/30/2023,12/03/2023,AUTOZONE #5944,Automotive,Sale,-80.27,
11/30/2023,12/01/2023,SQ *EXHALE PHYSICAL THERA,Health & Wellness,Sale,-45.00,
11/30/2023,12/01/2023,Amazon.com*AM89N8XY3,Shopping,Sale,-8.19,
11/30/2023,12/01/2023,RITE AID 05482,Health & Wellness,Sale,-2.49,
11/26/2023,11/26/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.03,
11/25/2023,11/26/2023,UBER *TRIP HELP.UBER.COM,Travel,Sale,-1.30,
11/19/2023,11/20/2023,OURARING INC.,Shopping,Sale,-5.99,
11/20/2023,11/20/2023,Amazon Prime*QI84E1W13,Bills & Utilities,Sale,-16.41,
11/20/2023,11/20/2023,Payment Thank You-Mobile,,Payment,1500.00,
11/17/2023,11/19/2023,SQ *PURSUE COFFEE,Food & Drink,Sale,-13.20,
11/17/2023,11/19/2023,IN N OUT BURGER 309,Food & Drink,Sale,-8.27,
11/18/2023,11/19/2023,DD DOORDASH TACOMBI,Food & Drink,Sale,-25.53,
11/16/2023,11/19/2023,SPORT CLIPS  CA639,Personal,Sale,-37.00,
11/15/2023,11/16/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-4.95,
11/12/2023,11/14/2023,LAZ PARKING 970188-TIBA,Travel,Sale,-2.94,
11/13/2023,11/14/2023,Amazon.com*QA25P8E33,Shopping,Sale,-37.70,
11/12/2023,11/14/2023,CINEMARK THEATRES 1085,Entertainment,Sale,-13.00,
11/13/2023,11/14/2023,AMZN Mktp US*273QN5HK3,Shopping,Sale,-85.03,
11/12/2023,11/13/2023,ASTRO,Food & Drink,Sale,-227.37,
11/12/2023,11/13/2023,UBER   TRIP,Travel,Sale,-21.04,
11/12/2023,11/12/2023,FANDANGO,Entertainment,Sale,-25.28,
11/11/2023,11/12/2023,UBER   TRIP,Travel,Sale,-46.36,
11/10/2023,11/12/2023,TRADER JOE S #034,Groceries,Sale,-10.95,
11/11/2023,11/12/2023,IN N OUT BURGER 092,Food & Drink,Sale,-9.86,
11/11/2023,11/12/2023,Amazon.com*TR7CU6OE3,Shopping,Sale,-23.22,
11/10/2023,11/10/2023,AUTOMATIC PAYMENT - THANK,,Payment,518.05,
11/09/2023,11/10/2023,BEVERAGES &amp; MORE #111,Food & Drink,Sale,-104.01,
11/09/2023,11/09/2023,RICECUPS* RICECUPS - 1,Food & Drink,Sale,-17.52,
11/09/2023,11/09/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-18.53,
11/06/2023,11/09/2023,AIRLINK 3D,Travel,Sale,-617.72,
11/06/2023,11/08/2023,WHOLEFDS RDB 10024,Groceries,Sale,-15.26,
11/07/2023,11/07/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-14.18,
11/06/2023,11/07/2023,Idube Game Lodge,Travel,Sale,-472.80,
11/07/2023,11/07/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-15.79,
11/06/2023,11/07/2023,Lukimbi,Travel,Sale,-526.40,
11/05/2023,11/06/2023,CVS/PHARMACY #05809,Health & Wellness,Sale,-11.40,
11/03/2023,11/05/2023,SQ *EXHALE PHYSICAL THERA,Health & Wellness,Sale,-105.00,
11/03/2023,11/05/2023,DOMINO'S 7841,Food & Drink,Sale,-55.78,
11/04/2023,11/05/2023,GEICO  *AUTO,Bills & Utilities,Sale,-153.65,
11/01/2023,11/02/2023,SQ *HANDEL'S HOMEMADE ICE,Groceries,Sale,-8.25,
10/30/2023,11/01/2023,TRADER JOE S #034,Groceries,Sale,-26.55,
10/30/2023,11/01/2023,VONS #1623,Groceries,Sale,-24.54,
10/29/2023,10/31/2023,BLAZE PIZZA HAWTHORNE - 1,Food & Drink,Sale,-13.84,
10/30/2023,10/31/2023,LA CARNICERIA MEAT MARKE,Groceries,Sale,-2.19,
10/29/2023,10/30/2023,JIFFY LUBE #1406,Automotive,Sale,-218.17,
10/29/2023,10/29/2023,Prime Video *V08D313K3,Shopping,Sale,-3.99,
10/27/2023,10/29/2023,UCLA PHYSICIANS,Health & Wellness,Sale,-15.00,
10/26/2023,10/29/2023,IN N OUT BURGER 092,Food & Drink,Sale,-11.39,
10/27/2023,10/27/2023,Uniqlo USA LLC UNIQLO_US-,Shopping,Sale,-241.55,
10/25/2023,10/26/2023,Amazon.com*O30MM3933,Shopping,Sale,-47.03,
10/25/2023,10/26/2023,MCDONALD'S F11194,Food & Drink,Sale,-9.40,
10/23/2023,10/25/2023,TRADER JOE S #248,Groceries,Sale,-8.16,
10/22/2023,10/24/2023,LULULEMON DEL AMO,Shopping,Sale,-0.64,
10/21/2023,10/23/2023,RICHMOND BAR AND GRILL,Food & Drink,Sale,-33.00,
10/19/2023,10/22/2023,TRADER JOE S #248,Groceries,Sale,-12.16,
10/22/2023,10/22/2023,BIRD* TEMP HOLD,Entertainment,Sale,-15.30,
10/20/2023,10/20/2023,Amazon Prime*TD2EC7ZE2,Bills & Utilities,Sale,-16.41,
10/19/2023,10/20/2023,OURARING INC.,Shopping,Sale,-5.99,
10/17/2023,10/19/2023,HABIT EL SEGUNDO #23,Food & Drink,Sale,-28.10,
10/16/2023,10/18/2023,TRADER JOE S #034,Groceries,Sale,-26.98,
10/17/2023,10/18/2023,MED*NEWPORT ORTHOPEDIC IN,Health & Wellness,Sale,-50.00,
10/15/2023,10/18/2023,MACI CAFE(SHANGRILA CAFE),Food & Drink,Sale,-5.89,
10/16/2023,10/17/2023,AMZN Mktp US*TP9QZ4A61,Shopping,Sale,-8.20,
10/16/2023,10/16/2023,Payment Thank You-Mobile,,Payment,2000.00,
10/14/2023,10/16/2023,BANQUETES DEL REY,Food & Drink,Sale,-47.20,
10/14/2023,10/16/2023,TST* Bar - Avanti Boulder,Food & Drink,Sale,-28.42,
10/15/2023,10/16/2023,TURO INC.* TRIP OCT 12,Travel,Sale,-8.52,
10/13/2023,10/15/2023,NAYAX VENDING 42,Food & Drink,Sale,-16.35,
10/14/2023,10/15/2023,BOULDER PARKING-CAGID,Travel,Sale,-6.00,
10/14/2023,10/15/2023,TST* ROOTED CRAFT KITCHEN,Food & Drink,Sale,-20.47,
10/13/2023,10/15/2023,STARBUCKS STORE 08758,Food & Drink,Sale,-11.15,
10/12/2023,10/13/2023,DUTYFREE DENVER ST5032,Shopping,Sale,-40.07,
10/12/2023,10/13/2023,MEOW WOLF,Entertainment,Sale,-90.00,
10/12/2023,10/13/2023,TST* Chick-fil-A,Food & Drink,Sale,-11.86,
10/13/2023,10/13/2023,BIERSTADT LAGERHAUS,Food & Drink,Sale,-35.20,
10/12/2023,10/13/2023,THE SOURCE- PARKING,Travel,Sale,-8.00,
10/11/2023,10/11/2023,AUTOMATIC PAYMENT - THANK,,Payment,1009.11,
10/09/2023,10/10/2023,UBR POSTMATES,Food & Drink,Sale,-22.17,
10/09/2023,10/10/2023,UBR POSTMATES,Food & Drink,Sale,-12.90,
10/09/2023,10/10/2023,SQ *SALT &amp; STRAW,Food & Drink,Sale,-13.63,
10/09/2023,10/10/2023,MCDONALD'S F13894,Food & Drink,Sale,-8.80,
10/08/2023,10/09/2023,MCDONALD'S F6023,Food & Drink,Sale,-10.23,
10/07/2023,10/08/2023,DOMINO'S 7919,Food & Drink,Sale,-66.46,
10/07/2023,10/08/2023,SQ *TOBANG KOREAN BBQ,Food & Drink,Sale,-67.11,
10/06/2023,10/08/2023,TACO BELL 30754,Food & Drink,Sale,-36.78,
10/05/2023,10/08/2023,CRASH CHAMPIONS-EL SEGUN,Automotive,Sale,-1000.00,
