Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/01/2025,05/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,2183.05,
04/29/2025,04/30/2025,FANDANGO    *,Entertainment,Sale,-91.00,
04/28/2025,04/29/2025,TST* THE SPANIARD,Food & Drink,Sale,-24.00,
04/26/2025,04/28/2025,HAVANA SOCIAL,Food & Drink,Sale,-169.91,
04/26/2025,04/27/2025,TST* STONE STREET TAVERN,Food & Drink,Sale,-20.00,
04/25/2025,04/27/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
04/25/2025,04/27/2025,65 MARKETPLACE,Groceries,Sale,-2.82,
04/24/2025,04/25/2025,DD *DOORDASH MCDONALDS,Food & Drink,Sale,-23.28,
04/24/2025,04/25/2025,SQ *THE BAR AT THE LITTLE,Groceries,Sale,-145.37,
04/21/2025,04/22/2025,TST* BANDITS,Food & Drink,Sale,-63.55,
04/16/2025,04/22/2025,UEP*PRINCE TEA HOUSE,Food & Drink,Sale,-27.91,
04/19/2025,04/21/2025,CENTRAL PARK CANDY SHOP,Shopping,Sale,-10.40,
04/19/2025,04/21/2025,WRAP-N- RUN GRILL,Food & Drink,Sale,-11.00,
04/19/2025,04/20/2025,DD *DOORDASH 7THSTREET,Food & Drink,Sale,-17.64,
04/17/2025,04/20/2025,TST*MOMOFUKU NOODLE BAR,Food & Drink,Sale,-111.00,
04/15/2025,04/17/2025,FIVE GUYS NY 1953 QSR,Food & Drink,Sale,-16.33,
04/11/2025,04/13/2025,RED ONION FOOD,Food & Drink,Sale,-142.00,
04/08/2025,04/09/2025,WEB ANGELIKA FILM NYC,Entertainment,Sale,-21.19,
04/05/2025,04/07/2025,TST*GOTHAM BURGER NYC,Food & Drink,Sale,-15.41,
04/06/2025,04/07/2025,AIRBNB * HMM4K8SDNR,Travel,Sale,-695.70,
04/06/2025,04/07/2025,URIEL T ROJAS,Food & Drink,Sale,-1.91,
04/06/2025,04/07/2025,DOM MANUEL I,Travel,Sale,-136.65,
04/06/2025,04/07/2025,URIEL T ROJAS,Food & Drink,Sale,-9.80,
04/04/2025,04/06/2025,TST*WILLIAMSBURG PIZZA -,Food & Drink,Sale,-5.25,
04/06/2025,04/06/2025,LYFT   *1 RIDE 04-04,Travel,Sale,-58.93,
04/03/2025,04/06/2025,IN-N-OUT TUSTIN,Food & Drink,Sale,-12.39,
04/05/2025,04/06/2025,SQ *POETICA COFFEE ST MAR,Food & Drink,Sale,-5.90,
04/04/2025,04/06/2025,SQ *SNA QDOBA MEXICAN EAT,Food & Drink,Sale,-16.92,
03/30/2025,04/04/2025,EARL OF SANDWICH-LAS VEG,Food & Drink,Sale,-14.49,
04/03/2025,04/04/2025,AGRI EDUC FOUNDATION,Education,Sale,-70.00,
04/03/2025,04/04/2025,SQ *POKE TIKI - IRVINE,Food & Drink,Sale,-14.50,
03/30/2025,04/04/2025,EARL OF SANDWICH-LAS VEG,Food & Drink,Sale,-17.59,
04/01/2025,04/03/2025,NELLIES SOUTHERN KITCHEN,Food & Drink,Sale,-13.00,
04/02/2025,04/03/2025,CHEVRON 0381314,Gas,Sale,-6.19,
03/31/2025,04/02/2025,MGM GRD STARBUCKS IN D,Food & Drink,Sale,-0.92,
04/01/2025,04/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,1536.73,
03/29/2025,03/31/2025,LADOT METER PARKING,Travel,Sale,-1.00,
03/30/2025,03/31/2025,NORDSTROM-RACK #0338,Shopping,Sale,-122.77,
03/29/2025,03/30/2025,YES CLEANERS,Personal,Sale,-79.79,
03/29/2025,03/30/2025,INTUIT *TURBOTAX,Shopping,Sale,-25.00,
03/29/2025,03/30/2025,CHEVRON 0208060,Gas,Sale,-20.00,
03/27/2025,03/28/2025,SQ *CHO DANG TOFU HOUSE,Food & Drink,Sale,-28.22,
03/25/2025,03/26/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
03/22/2025,03/24/2025,UNITED      0164482525075,Travel,Sale,-37.99,
03/22/2025,03/24/2025,UNITED      0164482525074,Travel,Sale,-37.99,
03/22/2025,03/24/2025,UNITED      0162471140432,Travel,Sale,-836.21,
03/22/2025,03/24/2025,UNITED      0162471136815,Travel,Sale,-65.91,
03/23/2025,03/24/2025,Uniqlo USA LLC UNIQLO_US-,Shopping,Sale,-109.78,
03/20/2025,03/23/2025,IN-N-OUT TUSTIN,Food & Drink,Sale,-9.10,
03/22/2025,03/23/2025,INTUIT *TURBOTAX,Shopping,Sale,-45.00,
03/22/2025,03/23/2025,SQ *PROUDLY SERVING,Food & Drink,Sale,-60.02,
03/18/2025,03/18/2025,LYFT   *1 RIDE 03-16,Travel,Sale,-58.89,
03/15/2025,03/17/2025,DELTA AIR   Baggage Fee,Travel,Sale,-35.00,
03/15/2025,03/16/2025,LYFT   *1 RIDE 03-13,Travel,Sale,-102.64,
03/13/2025,03/16/2025,UA INFLT    0164480091024,Travel,Sale,-5.00,
03/13/2025,03/14/2025,CHAMPS GOURMET DELI,Groceries,Sale,-6.49,
03/12/2025,03/14/2025,UNITED      0164479727661,Travel,Sale,-35.00,
03/12/2025,03/14/2025,UNITED      0164479727660,Travel,Sale,-35.00,
03/10/2025,03/11/2025,TST* LOS TACOS NO. 1 FIDI,Food & Drink,Sale,-40.78,
03/08/2025,03/10/2025,EJS LUNCHEONETTE,Food & Drink,Sale,-63.00,
03/08/2025,03/10/2025,NYC TAXI 1246 12460010,Travel,Sale,-24.90,
03/08/2025,03/09/2025,TST* E'S BAR - UPPER WEST,Food & Drink,Sale,-22.21,
03/06/2025,03/06/2025,WWW.SMOKEJAZZ.COM,Entertainment,Sale,-118.67,
03/03/2025,03/04/2025,ADIDAS US ONLINE STORE,Shopping,Sale,-114.99,
03/03/2025,03/04/2025,707 BOWLMOR 8003425263,Food & Drink,Sale,-11.43,
02/28/2025,03/03/2025,GIANO RISTORANTE,Food & Drink,Sale,-270.00,
03/02/2025,03/03/2025,DD *DOORDASH UPTHAI,Food & Drink,Sale,-25.27,
02/28/2025,03/03/2025,DREAM BABY,Food & Drink,Sale,-40.50,
03/01/2025,03/02/2025,Nintendo CA1365141573,Entertainment,Sale,-65.31,
